"id_pessoa","nome","nome_ref"
124,"Claudio Cavalcante","Cavalcante, C."
125,"Claudio Kirner","Kirner, C."
126,"Claudio Pinhanez","Pinhanez, C."
127,"Cleidson R. B. de Souza","Souza, C. R. B."
128,"Cleyton Slaviero","Slaviero, C."
129,"Clodis Boscarioli","Boscarioli, C."
130,"Clorisval Pereira Jr.","Jr., C. P."
131,"Cornélio Filho Plínio","Plínio, C. F."
132,"Cristian A. Rusu","Rusu, C. A."
133,"Cristiane Neri Nobre","Nobre, C. N."
134,"Cristiano Fruet","Fruet, C."
135,"Cristiano L. Soares","Soares, C. L."
136,"Cristiano Maciel","Maciel, C."
137,"Cristina Gislene Leiria","Leiria, C. G."
138,"Cristina Paludo Santos","Santos, C. P."
139,"Dámaris Pérez","Pérez, D."
140,"Damián Keller","Keller, D."
141,"Daniel Almeida Chagas","Chagas, D. A."
142,"Daniel Arcoverde","Arcoverde, D."
143,"Daniel Lins da Silva","Silva, D. L."
144,"Daniel M. Viero","Viero, D. M."
145,"Daniel Schneider","Schneider, D."
146,"Daniel Strazzulla","Strazzulla, D."
147,"Daniela Falcone","Falcone, D."
148,"Daniela Romão-Dias","Romão-Dias, D."
149,"Daniele Pinto Andres","Andres, D. P."
150,"Danielly Barboza Guimarães","Guimarães, D. B."
151,"Danilo de Sousa Ferreira","Ferreira, D. S."
152,"Danilo Marcondes Filho","Filho, D. M."
153,"David Falcão Barbosa","Barbosa, D. F."
154,"David Leonardo M. Bentolila","Bentolila, D. L. M."
155,"Débora Maurmo Modesto","Modesto, D. M."
156,"Débora Pereira Coura","Coura, D. P."
157,"Denis S. da Silveira","Silveira, D. S."
158,"Diego Bevilaqua","Bevilaqua, D."
159,"Diego Henrique Dantas de Oliveira","Oliveira, D. H. D."
160,"Díferson Machado","Machado, D."
161,"Dominique L. Scapin","Scapin, D. L."
162,"Douglas Francisquini Toledo","Toledo, D. F."
163,"Edgar Vilela Gadbem","Gadbem, E. V."
164,"Ednaldo Brigante Pizzolato","Pizzolato, E. B."
165,"Edson Oliveira Júnior","Júnior, E. O."
166,"Eduardo A. A. Radanovitsck","Radanovitsck, E. A. A."
167,"Eduardo A. Oliveira","Oliveira, E. A."
168,"Eduardo de Oliveira","Oliveira, E."
169,"Eduardo H. Calvillo-Gámez","Calvillo-Gámez, E. H."
170,"Eduardo H. Tanaka","Tanaka, E. H."
171,"Eduardo R. Miranda","Miranda, E. R."
172,"Eduardo Tiomno Tolmasquim","Tolmasquim, E. T."
173,"Edward Hermann Haeusler","Haeusler, E. H."
